	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords	Text
3569	3569	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Make life better
3570	3570	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Just didn't sit right with me
3571	3571	7.0	0.1024	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Mostly because of the rent increase 
3572	3572	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Don't give a fuck about CALIFORNIA 
3573	3573	4.0	0.1217	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I'm pro-choice so the community voting sounded really good I also really like the affordable options for the lower class and I'm against no rent control
3574	3574	10.0	0.1214	people, live, city, lot, family, place, price, house, bad, property	I want to see my neighborhood perfect place
3575	3575	0.0	0.1235	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because I live here and know what's good for the neighborhood 
3576	3576	5.0	0.1087	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Because I prefer it like that.
3577	3577	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	The rent increases
3578	3578	0.0	0.1212	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I chose those because I feel more connected with them and I felt like I had more say in them.
3579	3579	4.0	0.1212	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I decided on those favors because it will be of huge benefit for me
3580	3580	3.0	0.1044	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Nothing specific
3581	3581	3.0	0.119	make, thing, development, idea, great, time, favour, densification, infrastructure, year	The packages are much more lovely amazing and very much detailed in the certain times
3582	3582	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	It's easier to get things done there
3583	3583	10.0	0.1534	people, live, city, lot, family, place, price, house, bad, property	I think it would improve the rent and help people better afford their homes
3584	3584	0.0	0.1378	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I think the involvement of residents is very important. Those are the people who have lived in the neighborhood enough to know what would be good and bad for the neighborhood as well as having more small businesses around for us to support is amazing 
3585	3585	4.0	0.117	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Because my district would be involved in the decision making if whether to increase the rent or not 
3586	3586	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because they just didn't seem good
3587	3587	6.0	0.1087	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Because it much less to consider what will favor
3588	3588	3.0	0.1045	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Great, interesting
3589	3589	6.0	0.1212	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I favored the selected proposals as they are more appealing to my desired and needs.
3590	3590	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Some of the proposal was  very appealing and has the good well-being of the people
3591	3591	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Increase in rents
3592	3592	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Well I think it won't happen
3593	3593	10.0	0.1066	people, live, city, lot, family, place, price, house, bad, property	I am more for decreasing rent
3594	3594	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I find some appealing while others not
3595	3595	9.0	0.119	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I was mostly in favor of those with rent control and ones that were environment friendly.
3596	3596	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I find some relevant and efficient but some are not
3597	3597	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	It look not comfortable
3598	3598	5.0	0.1028	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Most of the concept was appealing and had major concerns for the surrounding
3599	3599	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	In the end it does not really matter
3600	3600	0.0	0.1237	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	it was interesting comparison
3601	3601	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	the involvement of renters 
3602	3602	8.0	0.1022	area, high, environment, cost, pay, life, problem, space, quality, crime	The proposal is very okay. I'm pleased with it
3603	3603	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	it was the right decision
3604	3604	2.0	0.1067	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Most proposals are a critical means of generating income.
3605	3605	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I love their propasal
3606	3606	0.0	0.1219	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	 I made my decisions based on what best serves the people and the building conditions in the area and the climatic influences
3607	3607	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	It is too much of a increase
3608	3608	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	some had better things to offer 
3609	3609	1.0	0.1046	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Some of the proposal fit my interests as compared to others
3610	3610	10.0	0.1209	people, live, city, lot, family, place, price, house, bad, property	Peace and serenity, public harassment, level of density etc
3611	3611	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	It's just more beneficial to me 
3612	3612	6.0	0.1214	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	It seems relevant and had the community at mind 
3613	3613	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because of their reasons
3614	3614	0.0	0.1148	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	The proposals I picked are actually good projects that will alleviate poverty and also help the community at large 
3615	3615	4.0	0.119	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I decide thus because I feel as though my opinion on these matters should be heard 
3616	3616	6.0	0.1066	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I have no interest in that 
